g491.t1	Ling_SUPER_1	75.000	188	47	0	88	275	38698070	38698633	3.40e-92	300	275	76508704
g491.t1	Ling_SUPER_1	32.850	207	117	5	83	267	26353660	26354280	3.16e-24	105	275	76508704
g491.t1	Ling_SUPER_1	31.579	209	119	6	83	267	30879833	30880459	5.49e-21	95.5	275	76508704
g491.t1	Ling_SUPER_1	31.579	209	119	6	83	267	37432933	37433559	5.49e-21	95.5	275	76508704
g491.t1	Ling_SUPER_1	33.161	193	119	6	83	267	36982766	36982194	7.06e-18	86.3	275	76508704
g491.t1	Ling_SUPER_1	34.146	164	85	5	128	268	52424309	52424800	3.83e-16	81.3	275	76508704
g491.t1	Ling_SUPER_1	30.061	163	101	5	112	267	26218178	26217708	6.81e-15	77.4	275	76508704
g491.t1	Ling_SUPER_1	30.061	163	101	5	112	267	24241395	24240925	6.81e-15	77.4	275	76508704
g491.t1	Ling_SUPER_1	35.484	124	72	3	79	195	65096347	65095979	4.63e-11	66.2	275	76508704
g491.t1	Ling_SUPER_1	33.028	109	67	3	83	187	43726593	43726913	2.47e-08	57.8	275	76508704
g491.t1	Ling_SUPER_X	40.952	210	119	3	61	267	32970452	32971075	5.46e-46	167	275	67901076
g491.t1	Ling_SUPER_X	39.362	94	57	0	83	176	40856812	40856531	5.80e-18	71.2	275	67901076
g491.t1	Ling_SUPER_X	35.484	62	36	1	211	268	40856432	40856247	5.80e-18	40.4	275	67901076
g491.t1	Ling_SUPER_X	31.902	163	98	5	112	267	63335163	63335633	3.09e-16	81.6	275	67901076
g491.t1	Ling_SUPER_X	30.159	189	118	7	84	267	32476155	32476694	6.29e-16	80.5	275	67901076
g491.t1	Ling_SUPER_X	29.412	221	124	7	82	271	15806807	15807466	7.04e-16	80.5	275	67901076
g491.t1	Ling_SUPER_X	29.412	221	124	7	82	271	46611359	46612018	7.04e-16	80.5	275	67901076
g491.t1	Ling_SUPER_X	46.067	89	48	0	83	171	19967068	19967334	1.22e-14	76.6	275	67901076
g491.t1	Ling_SUPER_X	42.424	66	38	0	82	147	29866119	29866316	3.27e-08	57.4	275	67901076
g491.t1	Ling_SUPER_X	24.312	218	125	7	80	269	41367017	41366400	2.75e-07	54.7	275	67901076
g491.t1	Ling_SUPER_2	33.014	209	117	6	83	268	55615994	55615368	1.01e-23	103	275	56451848
g491.t1	Ling_SUPER_2	28.319	226	138	4	67	268	36446672	36447349	4.02e-21	95.9	275	56451848
g491.t1	Ling_SUPER_2	31.579	209	119	6	83	267	36522294	36522920	5.49e-21	95.5	275	56451848
g491.t1	Ling_SUPER_GRC1	30.288	208	121	4	84	267	18981607	18980984	1.27e-19	91.7	275	36229871
g491.t1	Ling_SUPER_GRC1	32.051	156	88	6	122	267	4079839	4079396	1.41e-12	70.5	275	36229871
g491.t1	Ling_SUPER_GRC1	30.657	137	84	2	60	187	12052614	12052210	2.31e-10	63.9	275	36229871
g491.t1	Ling_SUPER_GRC1	27.083	144	98	4	131	268	32592381	32592809	7.76e-09	59.3	275	36229871
g491.t1	Ling_SUPER_3	33.161	193	119	6	83	267	9812991	9813563	6.62e-18	86.7	275	52603560
g491.t1	Ling_SUPER_3	31.183	186	104	5	106	267	3401731	3401174	2.89e-17	84.7	275	52603560
